	z_coordinate_0	z_coordinate_1
206	-1.9269191	-4.461575
207	-2.1765652	-3.9940326
208	-2.2867017	-4.7532225
209	-2.1239362	-4.050139
210	-1.3271613	-4.6141677
211	-2.0293756	-4.353027
212	-2.2049932	-4.013677
213	-2.3036032	-3.6778266
214	-2.8596156	-4.962771
215	-1.8782698	-4.509824
216	-2.7012932	-3.5224297
217	-2.1861062	-3.6134272
218	-2.1315267	-4.725722
219	-2.4035206	-4.6517386
220	-2.290286	-3.6075308
221	-1.2432425	-2.8655734
222	-2.1876807	-4.6634398
223	-2.2056599	-3.8029325
224	-1.9950275	-3.9191759
225	-1.9837313	-3.818374
226	-1.1246434	-4.016618
227	-2.3033643	-3.570296
228	-1.8907712	-4.010152
229	-1.9988465	-4.276856
230	-2.1620245	-4.2086754
231	-2.279182	-4.8591566
232	-2.0158935	-3.6858137
233	-1.9521942	-4.7120395
234	-1.9207824	-4.9424195
235	-2.1543188	-3.627528
236	-1.5192264	-4.9105897
237	-1.9922113	-3.9367354
238	-1.273507	-4.6986766
239	-2.20404	-3.53454
240	-2.0393326	-3.7656815
241	-2.0823584	-4.7319045
242	-2.3924406	-3.9607675
243	-2.0187662	-4.3957224
244	-1.3196268	-4.56797
245	0.08711055	-1.9215566
246	-1.439913	-4.1932282
247	-2.3022933	-4.6707196
248	-2.080876	-4.7294645
249	-1.3312473	-3.2050462
250	-2.309236	-4.4790225
251	-2.169591	-3.5517948
252	-2.140785	-3.285515
253	-2.3029134	-3.3779562
254	-2.0875258	-3.9517996
255	-3.197212	-5.041077
256	-2.664083	-4.2553225
257	-2.0645757	-4.0003304
258	-2.1154888	-3.6823285
259	-0.9240037	-2.9353685
260	-2.5107956	-3.6670125
261	-1.6481555	-3.867997
262	-8.739073	-6.927895
263	-1.9750066	-4.853088
264	-1.2687402	-4.055573
265	-2.4881856	-4.0059385
266	-2.3848524	-3.7990055
267	-2.049971	-3.4713278
268	-1.8398252	-4.094382
269	-2.0684261	-4.1154656
270	-4.657907	-5.143933
271	-2.240357	-4.162483
272	-2.338819	-4.3033266
273	-2.07973	-4.181895
274	-2.2245378	-3.2453134
275	-2.6977873	-4.6533017
276	-1.8200145	-4.637221
277	-2.1722403	-3.890392
278	-2.1362267	-3.1209147
279	-2.33515	-3.4120772
280	-2.5013962	-4.5090256
281	-2.2204113	-4.205994
282	-2.152661	-3.584893
283	-2.1064813	-3.5885923
284	-2.491469	-5.0275407
285	-2.4130633	-4.2616353
286	-2.6814823	-4.7352157
287	-2.0366933	-3.6044958
288	-1.9069369	-4.1626077
289	-2.0260742	-3.2614343
290	-2.107905	-3.8405278
291	-1.9999871	-3.5952845
292	-1.8988485	-3.9455445
293	-2.2643228	-3.5571048
294	-2.837237	-4.823842
295	-2.0832582	-3.4924738
296	-2.3340218	-4.2551837
297	-2.5401037	-4.397178
298	-2.1303754	-3.6879346
299	-2.2414317	-3.72517
300	-2.2428658	-3.2582872
301	-1.7407291	-3.9467275
302	-2.2483711	-4.2839093
303	-2.3084548	-3.9986837
304	-2.2619941	-4.3838124
305	-2.3103857	-4.212111
306	-1.951072	-3.464712
307	-2.3169541	-4.2064633
308	-2.2622254	-4.342341
309	-1.9807014	-3.604936
310	-1.516496	-4.406622
311	-2.199675	-4.3721704
312	-1.9781859	-4.6806283
313	-2.271162	-3.574745
314	-4.8152003	-5.093249
315	-2.3486814	-4.740372
316	-2.2364001	-4.6215773
317	-1.8726311	-3.8035574
318	-2.1274483	-3.0195384
319	-1.9446502	-4.715385
320	-2.3375554	-3.30031
321	-2.0065062	-3.636906
322	-2.3873281	-3.3148015
323	-2.2192483	-4.123607
324	-2.4421668	-4.036473
325	-1.3673509	-3.9017208
326	-2.278418	-4.0461974
327	-1.9079633	-4.1156697
328	-2.2789376	-3.4862149
329	-2.157229	-3.1877282
330	-1.9641473	-4.185448
331	-0.83529997	-3.2288682
332	-2.0304227	-4.2362027
333	-2.2666783	-3.8502958
334	-2.359148	-3.6734178
335	-1.7205274	-5.4079313
336	-2.2261837	-3.4954007
337	-2.3277507	-3.4413805
338	-1.6610538	-3.847079
339	-1.9562814	-4.3335967
340	-3.3015938	-4.433954
341	-2.2644932	-4.191039
342	-1.2527971	-3.546601
343	-2.050855	-4.8720365
344	-1.9383967	-4.87248
345	-2.006318	-4.7290444
346	-2.36336	-3.5745585
347	-2.22513	-3.7915957
348	-1.9547589	-4.0986924
349	-2.0383928	-4.4362903
350	-1.6833546	-3.9798286
351	-1.6556785	-3.8096778
352	-1.9839671	-4.475826
353	-11.373625	-7.044663
354	-1.6096295	-4.7373214
355	-2.5846632	-4.8456473
356	-2.3666587	-3.6091301
357	-2.029424	-4.1718884
358	-1.8032827	-4.9927998
359	-1.9929843	-3.621586
360	-2.152821	-3.729808
361	-2.213243	-3.5475414
362	-2.4295797	-3.943535
363	-2.0505972	-4.327699
364	-1.9364675	-5.118748
365	-2.4540591	-4.5000167
366	-2.2208285	-3.7315965
367	-1.2489702	-4.078733
