	z_coordinate_0	z_coordinate_1
0	3.4664285	7.6542873
1	2.1193414	8.31086
2	2.281258	6.98791
3	2.5209754	6.441895
4	1.4748317	8.233874
5	1.3735155	9.008536
6	1.5870979	8.909636
7	2.261419	7.0220895
8	1.1770782	9.17949
9	2.1442478	7.0448165
10	1.4303062	9.690603
11	1.7443061	7.1437426
12	1.8111562	7.341623
13	1.0331693	9.644414
14	2.0910327	9.149606
15	2.5746777	7.287438
16	1.1902815	8.547578
17	1.8323067	7.1734223
18	2.2252893	7.751575
19	1.7545055	7.9597855
20	1.8932004	8.750304
21	1.8718567	8.077583
22	1.3763729	6.905006
23	1.6755975	7.1928988
24	3.4406374	7.7854905
25	1.508826	8.651889
26	1.8378832	7.6007905
27	1.0103953	9.335151
28	2.304807	6.923673
29	0.5691001	10.720257
30	2.047778	7.233545
31	1.8108246	10.14882
32	2.6234543	6.788819
33	2.1380968	6.6761737
34	1.5849215	6.770511
35	0.45723525	9.08415
36	1.7905047	7.441376
37	1.3731983	8.941004
38	1.3979574	6.9563756
39	1.9022175	7.098395
40	1.7345611	7.31951
41	2.9249332	7.819712
42	2.0993152	8.072773
43	2.1434104	6.907989
44	1.343426	7.500013
45	1.1717174	8.464096
46	2.039239	7.41882
47	1.3535764	8.692611
48	1.5188835	8.264681
49	2.2526727	7.7847342
50	1.7992057	7.1562657
51	2.2332268	7.2709384
52	3.9186366	7.737674
53	1.6265997	7.405457
54	2.0012298	7.3267646
55	1.863154	7.6918535
56	2.1876152	7.1621656
57	3.973242	6.323253
58	1.5691962	6.956137
59	1.5468853	8.651625
60	1.57702	7.1929355
61	1.8805186	7.697102
62	2.126537	8.07697
63	2.28361	7.8732533
64	2.2106125	7.1166472
65	2.080805	7.133881
66	1.341298	8.581061
67	1.3297237	8.652618
68	1.559256	8.230295
69	1.6485212	7.369867
70	1.8728291	6.996796
71	1.2441571	8.512755
72	2.7625263	7.2658725
73	2.0711322	7.2173896
74	1.3457414	8.715839
75	1.8199593	7.435061
76	2.7463896	8.937946
77	2.6913426	7.308544
78	2.150898	7.783524
79	2.5102763	6.99832
80	1.5351249	8.474837
81	1.4981093	8.744942
82	1.5345653	8.80254
83	2.6227279	6.9240017
84	1.9690242	7.4911027
85	1.7749782	8.2675905
86	1.9301298	6.9290757
87	1.9823732	7.0789847
88	1.8944224	8.139657
89	2.2953286	7.0579734
90	1.6441361	6.5508866
91	2.457779	7.882266
92	1.7937478	8.101757
93	2.0220726	7.5795903
94	2.7045677	5.9678144
95	1.6067752	7.482063
96	2.711916	6.7662745
97	1.9364241	8.03249
98	1.8830682	7.482002
99	2.4526565	9.387665
100	1.9593852	8.36897
101	1.6437968	8.010322
102	2.121787	7.621337
103	1.4850312	8.2697
104	3.119806	7.675531
105	1.7639221	7.452299
106	1.1126882	9.125888
107	2.2908323	6.7850237
108	3.1778576	6.6993885
109	1.9761217	7.2816896
110	1.7222632	7.09827
111	1.9367763	7.2550397
112	3.0855575	6.7439466
113	1.9845893	7.8093805
114	1.502013	8.3975315
115	1.4909174	9.381127
116	2.0962515	7.291542
117	1.0316069	7.8829265
118	2.013949	7.4779706
119	1.6270984	7.518108
120	2.1041899	7.0448318
121	1.926581	7.3536663
122	1.5126861	8.578155
123	2.0273557	6.714339
124	1.5467498	8.252466
125	1.7690747	7.578934
126	1.7088773	7.5272145
127	2.856684	8.444206
128	1.5779268	7.567332
129	2.5741668	7.047628
130	1.2694571	8.264766
131	2.4493573	6.8222785
132	2.076478	7.1132526
133	1.4776534	8.685579
134	1.6943866	9.271179
135	2.1491165	7.0991654
136	2.438548	6.7941723
137	3.221939	7.0931726
138	1.9681766	8.990895
139	1.4958767	8.244664
140	2.0879614	7.965552
141	2.1598032	7.054993
142	1.56437	8.31157
143	2.8704443	7.5235505
144	1.2625097	8.882986
145	1.7639518	7.1256046
146	1.9533399	7.346397
147	1.7684174	7.2587852
148	1.5155917	8.73722
149	0.997628	6.404697
150	2.2816033	6.653329
151	1.9055809	8.510672
152	2.21489	7.9486017
153	1.9819328	7.0816274
154	1.3002808	9.4839735
155	2.2093112	7.775806
156	1.7746403	8.2301035
157	3.5551598	6.6019464
158	2.1893184	6.768516
159	2.0614262	8.974053
160	2.8738055	7.811649
161	2.3164027	6.82636
162	1.6533993	6.804872
163	2.2158988	7.7682858
164	2.2478955	8.737534
165	1.0550437	8.174788
166	0.965323	7.4257874
167	1.7328054	7.0673285
168	1.5239966	9.03185
169	2.019004	6.9917207
170	1.4891084	7.5628943
171	1.4014407	9.28439
172	2.4636996	7.513392
173	2.4150798	7.0972075
174	1.4980149	8.467612
175	2.7146344	8.445815
176	1.3827782	8.738382
177	2.2134838	8.045938
178	2.5303485	7.871431
179	5.5367255	6.952491
180	1.2313635	8.733507
181	2.8097088	7.918403
182	1.953063	7.122581
183	1.9758252	7.3946424
184	1.4273268	8.055233
185	1.2462581	8.791186
186	2.4766014	6.6869974
187	1.6726859	7.808035
