	log_likelihood
456	30269.469
457	30733.703
458	30928.5
459	30346.172
460	30641.87
461	31210.854
462	30120.385
463	30906.23
464	30890.465
465	30854.213
466	30504.068
467	30673.23
468	30171.363
469	31062.73
470	30209.244
471	30376.781
472	30487.387
473	31240.734
474	30596.988
475	30933.006
476	30954.041
477	30920.578
478	30862.707
479	30597.553
480	30663.959
481	31003.021
482	30544.105
483	30651.074
484	30880.035
485	30642.9
486	30651.053
487	30600.188
488	30718.959
489	30325.043
490	29939.402
491	30418.363
492	30933.006
493	30897.66
494	30435.416
495	30610.797
496	30664.2
497	30328.975
498	31006.895
499	31031.3
500	30279.645
501	30842.166
502	30801.24
503	30609.824
504	30310.066
505	30190.348
506	30307.863
507	30805.713
508	30534.95
509	30854.145
510	30078.588
511	30610.87
512	30682.137
513	30677.887
514	30476.059
515	30367.13
516	30472.812
517	30638.303
518	30008.191
519	30787.4
520	29829.613
521	30390.582
522	30525.621
523	30417.475
524	30845.568
525	30343.918
526	29724.6
527	30669.129
528	30304.338
529	29870.234
530	30551.354
531	30479.262
532	30796.168
533	30075.338
534	30599.918
535	31034.0
536	30690.14
537	31123.318
538	30917.656
539	30939.234
540	29942.11
541	30836.16
542	30035.848
543	30545.723
544	30552.406
545	30057.354
546	30172.84
547	30543.766
548	30648.184
549	30555.562
550	30758.475
551	30495.506
552	31074.938
553	30297.504
554	30408.059
555	30152.562
556	30690.053
557	31168.3
558	30024.004
559	30258.625
560	30499.053
561	30923.725
562	30814.176
563	30682.11
564	30650.135
565	30974.021
566	30956.879
567	30401.535
568	30439.928
569	30949.959
570	30335.287
571	30954.494
572	30416.703
573	30941.5
574	30995.645
575	30563.668
576	31029.975
577	30605.729
578	30608.438
579	29994.38
580	30861.025
581	30289.39
582	30042.271
583	30538.527
584	30973.16
585	30365.621
586	31019.402
587	30057.01
588	30728.896
589	30415.072
590	30904.125
591	30246.332
592	30426.816
593	30406.818
594	30976.322
595	30438.12
596	30533.316
597	30505.004
598	30898.65
599	31125.812
600	30177.996
601	30747.084
602	30334.729
603	30518.645
604	30806.152
605	30333.26
606	30637.824
607	30741.104
608	30101.059
609	30722.047
610	30268.121
611	30944.105
612	30150.719
613	30896.604
614	30409.8
615	30905.584
616	30992.246
617	30483.291
618	30165.387
619	30853.434
620	30972.37
621	30237.688
622	30607.355
623	30822.943
624	31132.324
625	30772.885
626	30535.771
627	30462.975
628	30779.855
629	30900.395
630	30557.832
631	30516.053
632	30492.926
633	30928.775
634	30765.053
635	30076.666
636	30060.975
637	29886.922
638	29968.129
639	30253.865
640	30730.068
641	30366.584
642	30624.303
643	30593.844
644	30755.256
645	30018.297
646	29962.832
647	31099.371
648	30557.662
649	30429.797
650	30556.656
651	30547.01
652	30186.557
653	30498.98
654	30159.871
655	30962.762
656	30750.162
657	30868.645
658	30767.62
659	30619.375
660	30672.703
661	30021.162
662	29992.432
663	29869.084
664	30964.676
665	30267.24
666	30817.832
667	30310.662
668	30796.281
669	30325.38
670	29905.938
671	30696.781
672	30624.031
673	30844.066
674	30197.037
675	30771.918
676	30381.7
677	30793.738
678	30421.3
679	30634.973
680	30639.275
681	30645.12
682	31089.254
683	30765.16
684	29870.943
685	30129.113
686	30711.135
687	30291.559
688	29671.822
689	29932.672
690	30423.781
691	30952.6
692	30759.516
693	30640.113
694	30164.395
695	30232.812
696	30388.105
697	30517.87
698	30664.197
699	30500.135
700	30671.35
701	30556.9
702	30607.957
703	30049.012
704	30698.02
705	30486.285
706	30644.598
707	30675.016
708	30406.691
709	31136.797
710	30965.01
711	30852.348
712	29968.979
713	31063.426
714	30835.225
715	30223.037
716	30197.994
717	30988.043
718	30646.553
719	30353.135
720	30058.87
721	30570.86
722	30454.87
723	30662.562
724	30630.715
725	30776.135
726	30197.176
727	30947.043
728	30411.557
729	30888.074
730	31031.291
731	30795.14
732	30730.385
733	30842.084
734	30521.4
735	31051.115
736	30051.965
737	30812.566
738	30223.422
739	30474.543
740	30912.256
741	31102.682
742	30590.55
743	30316.844
744	30539.406
745	30756.48
746	30781.787
747	30302.38
748	31007.86
749	30711.354
750	30459.465
751	30323.354
752	30924.51
753	30148.574
754	30979.053
755	30804.963
756	30457.809
757	31235.494
758	30892.537
759	30074.494
760	30131.416
761	30528.713
762	30614.145
763	30334.684
764	30399.057
765	30404.047
766	30627.594
767	30823.838
768	30362.463
769	30296.703
770	30549.531
771	30492.816
772	30923.246
773	30620.504
774	30904.3
775	30393.531
776	30461.434
777	30926.35
778	30553.057
779	29889.072
780	30283.613
781	30882.574
782	30465.73
783	30044.818
784	30576.084
785	31098.88
786	30759.494
787	30750.418
788	30520.652
789	30350.088
790	30653.531
791	30502.26
792	31036.8
793	30413.63
794	30248.129
795	30461.068
796	30590.182
797	30585.688
798	30765.543
799	30110.053
800	30296.994
801	30033.625
802	30358.238
803	30460.168
804	30240.447
805	30643.568
806	30801.447
807	30581.291
808	30412.191
809	30195.016
810	30486.24
811	30060.979
812	30720.184
813	30647.812
814	29707.48
815	30316.777
816	30069.848
817	29678.184
818	30395.902
819	30668.895
820	30573.771
821	31526.14
822	30879.543
823	30912.37
824	30586.615
825	29873.605
826	30571.047
827	29784.7
828	30080.988
829	30631.63
830	30640.645
831	30070.307
832	30582.463
833	30210.621
834	29605.4
835	30565.371
836	30425.871
837	30427.39
838	30299.453
839	29985.15
840	30551.672
841	30589.87
842	30581.65
843	30485.84
844	29714.85
845	30573.043
846	30456.77
847	30514.906
848	30413.207
849	30335.021
850	30446.074
851	30363.328
852	29836.613
853	30472.9
854	31368.438
855	30323.432
856	30712.896
857	29863.715
858	30755.89
859	29939.172
860	30088.453
861	30984.475
862	30259.62
863	30312.541
864	30467.207
865	30249.73
866	30136.791
867	30638.355
868	30444.973
869	30346.902
870	30229.012
871	30519.506
872	29767.426
873	30001.928
874	31007.953
875	30379.15
876	30024.562
877	29559.604
878	30309.275
879	30235.01
880	30617.262
881	30294.572
882	30558.703
883	30074.621
884	30700.238
885	30272.781
886	30693.709
887	30128.916
888	30775.004
889	30157.338
890	30402.566
891	30212.896
892	29546.541
893	30794.74
894	30590.588
895	30065.629
896	29994.787
897	29384.324
898	29432.035
899	30878.27
900	30442.5
901	30801.715
902	29916.672
903	29784.525
