	log_likelihood
0	16640.004
1	16733.684
2	16809.145
3	16454.516
4	16834.863
5	16740.098
6	16610.496
7	16667.59
8	16717.91
9	16869.629
10	16584.094
11	16871.828
12	16944.322
13	16592.715
14	16719.484
15	16852.209
16	16782.652
17	16870.219
18	16697.723
19	16746.652
20	16714.895
21	16844.027
22	16862.459
23	16938.188
24	16735.715
25	16734.121
26	16826.207
27	16704.71
28	16762.703
29	16581.277
30	16896.328
31	16590.912
32	16678.441
33	16596.375
34	16724.352
35	16847.875
36	16820.553
37	16755.863
38	16915.426
39	16930.59
40	16860.256
41	16766.09
42	16679.004
43	16852.88
44	16799.66
45	16862.713
46	16702.746
47	16769.809
48	16722.955
49	16947.4
50	16807.908
51	16780.05
52	16494.488
53	16954.283
54	16733.506
55	16834.703
56	16829.9
57	16885.463
58	16885.082
59	16754.787
60	16805.273
61	16833.047
62	16727.588
63	16894.084
64	16826.36
65	16854.895
66	16715.703
67	16758.254
68	16780.01
69	16917.035
70	16837.93
71	16795.602
72	16719.59
73	16904.504
74	16718.879
75	16925.459
76	16772.24
77	16552.047
78	16836.01
79	16632.744
80	16764.754
81	16728.307
82	16713.504
83	16667.865
84	16762.355
85	16884.441
86	16775.848
87	16837.691
88	16780.02
89	16777.338
90	16728.574
91	16820.8
92	16776.613
93	16863.385
94	16592.756
95	16822.988
96	16608.73
97	16706.258
98	16806.941
99	16571.072
100	16748.107
101	16762.623
102	16737.371
103	16732.613
104	16842.2
105	16867.752
106	16612.207
107	16774.59
108	16775.4
109	16924.662
110	16885.354
111	16762.912
112	16669.713
113	16745.26
114	16826.9
115	16609.113
116	16913.559
117	16910.715
118	16845.473
119	16834.504
120	16787.47
121	16946.53
122	16702.84
123	16772.754
124	16846.395
125	16762.916
126	16849.066
127	16411.762
128	16821.168
129	16761.34
130	16629.541
131	16746.035
132	16802.629
133	16792.879
134	16669.52
135	16869.512
136	16564.33
137	16494.887
138	16666.525
139	16787.809
140	16798.438
141	16782.416
142	16865.492
143	16775.535
144	16744.895
145	16920.219
146	16862.521
147	16969.021
148	16772.07
149	16664.895
150	16827.014
151	16761.37
152	16826.02
153	16741.225
154	16597.527
155	16762.59
156	16731.23
157	16881.59
158	16787.713
159	16762.312
160	16754.477
161	16535.604
162	16876.664
163	16731.305
164	16823.834
165	16796.025
166	16840.637
167	16913.45
168	16717.537
169	16797.8
170	16870.877
171	16709.637
172	16836.645
173	16744.9
174	16794.697
175	16868.807
176	16787.762
177	16702.062
178	16843.75
179	16786.076
180	16741.447
181	16822.031
182	16886.234
183	16727.02
184	16810.537
185	16707.549
186	16643.832
187	16848.174
188	16772.646
189	16594.104
190	16873.164
191	16722.95
192	16779.453
193	16859.807
194	16764.668
195	16809.479
196	16846.887
197	16938.318
198	16740.266
199	16793.613
200	16745.547
201	16819.902
202	16772.354
203	16702.129
204	16800.033
205	16684.672
206	16796.74
207	16766.928
208	16756.477
209	16820.676
210	16927.693
211	16902.502
212	16742.645
213	16667.371
214	16417.105
215	16854.322
216	16492.234
217	16615.467
218	16596.61
219	16791.938
220	16706.0
221	16977.777
222	16748.45
223	16728.254
224	16727.2
225	16737.293
226	16845.605
227	16682.648
228	16819.545
229	16720.816
230	16589.262
231	16729.887
232	16745.97
233	16883.684
234	16675.625
235	16797.965
236	16799.838
237	16873.385
238	16825.01
239	16739.318
240	16752.668
241	16829.648
242	16742.0
243	16651.58
244	16699.594
245	16857.186
246	16730.252
247	16709.84
248	16880.902
249	16767.246
250	16788.262
251	16854.941
252	16570.36
253	16589.363
